index,country,iso2,values,year,unit
1.1.1,PAN,PA,2,2018,PERCENT
1.1.1,PER,PE,3,2018,PERCENT
1.1.1,PHL,PH,6,2015,PERCENT
1.1.1,PNG,PG,38,2009,PERCENT
1.1.1,POL,PL,0,2017,PERCENT
1.1.1,PRT,PT,0,2017,PERCENT
1.1.1,PRY,PY,2,2018,PERCENT
1.1.1,PSE,PS,1,2016,PERCENT
1.1.1,ROU,RO,4,2017,PERCENT
1.1.1,RUS,RU,0,2018,PERCENT
1.1.1,RWA,RW,56,2016,PERCENT
1.1.1,SDN,SD,13,2014,PERCENT
1.1.1,SEN,SN,38,2011,PERCENT
1.1.1,SLB,SB,25,2013,PERCENT
1.1.1,SLE,SL,40,2018,PERCENT
1.1.1,SLV,SV,2,2018,PERCENT
1.1.1,SRB,RS,6,2017,PERCENT
1.1.1,SSD,SS,43,2009,PERCENT
1.1.1,STP,ST,35,2017,PERCENT
1.1.1,SVK,SK,1,2016,PERCENT
1.1.1,SVN,SI,0,2017,PERCENT
1.1.1,SWE,SE,0,2017,PERCENT
1.1.1,SWZ,SZ,28,2016,PERCENT
1.1.1,SYC,SC,1,2013,PERCENT
1.1.1,SYR,SY,2,2004,PERCENT
1.1.1,TCD,TD,38,2011,PERCENT
1.1.1,TGO,TG,50,2015,PERCENT
1.1.1,THA,TH,0,2018,PERCENT
1.1.1,TJK,TJ,5,2015,PERCENT
1.1.1,TLS,TL,31,2014,PERCENT
1.1.1,TON,TO,1,2015,PERCENT
1.1.1,TUN,TN,0,2015,PERCENT
1.1.1,TUR,TR,0,2018,PERCENT
1.1.1,TUV,TV,3,2010,PERCENT
1.1.1,TZA,TZ,49,2017,PERCENT
1.1.1,UGA,UG,42,2016,PERCENT
1.1.1,UKR,UA,0,2018,PERCENT
1.1.1,URY,UY,0,2018,PERCENT
1.1.1,USA,US,1,2016,PERCENT
1.1.1,UZB,UZ,62,2003,PERCENT
1.1.1,VEN,VE,10,2006,PERCENT
1.1.1,VNM,VN,2,2018,PERCENT
1.1.1,VUT,VU,13,2010,PERCENT
1.1.1,WSM,WS,1,2013,PERCENT
1.1.1,YEM,YE,19,2014,PERCENT
1.1.1,ZAF,ZA,19,2014,PERCENT
1.1.1,ZMB,ZM,58,2015,PERCENT
1.1.1,ZWE,ZW,34,2017,PERCENT
