"","Indicator","SeriesCode","GeoAreaCode","GeoAreaName","TimePeriod","Value","Time_Detail","Source","FootNote","Nature","Units","Age","Location","Nature.1","Reporting.Type","Sex","Type.of.product","Units.1","NUM_id","ISO3CD","ISO2CD","ref.name"
"66","14.a.1","ER_RDE_OSEX",528,"Netherlands",2017,"0.24","2017","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",167,"NLD","NL","Netherlands"
"67","14.a.1","ER_RDE_OSEX",604,"Peru",2013,"9.50","2013","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",176,"PER","PE","Peru"
"68","14.a.1","ER_RDE_OSEX",604,"Peru",2014,"8.57","2014","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",176,"PER","PE","Peru"
"69","14.a.1","ER_RDE_OSEX",604,"Peru",2015,"6.79","2015","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",176,"PER","PE","Peru"
"70","14.a.1","ER_RDE_OSEX",604,"Peru",2016,"5.81","2016","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",176,"PER","PE","Peru"
"71","14.a.1","ER_RDE_OSEX",616,"Poland",2013,"0.11","2013","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",180,"POL","PL","Poland"
"72","14.a.1","ER_RDE_OSEX",616,"Poland",2014,"0.09","2014","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",180,"POL","PL","Poland"
"73","14.a.1","ER_RDE_OSEX",616,"Poland",2015,"0.07","2015","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",180,"POL","PL","Poland"
"74","14.a.1","ER_RDE_OSEX",616,"Poland",2016,"0.07","2016","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",180,"POL","PL","Poland"
"75","14.a.1","ER_RDE_OSEX",616,"Poland",2017,"0.07","2017","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",180,"POL","PL","Poland"
"76","14.a.1","ER_RDE_OSEX",643,"Russian Federation",2013,"0.13","2013","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",190,"RUS","RU","Russian Federation"
"77","14.a.1","ER_RDE_OSEX",643,"Russian Federation",2014,"0.15","2014","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",190,"RUS","RU","Russian Federation"
"78","14.a.1","ER_RDE_OSEX",643,"Russian Federation",2016,"0.10","2016","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",190,"RUS","RU","Russian Federation"
"79","14.a.1","ER_RDE_OSEX",643,"Russian Federation",2017,"0.14","2017","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",190,"RUS","RU","Russian Federation"
"80","14.a.1","ER_RDE_OSEX",724,"Spain",2016,"0.38","2016","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",70,"ESP","ES","Spain"
"81","14.a.1","ER_RDE_OSEX",724,"Spain",2017,"0.35","2017","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",70,"ESP","ES","Spain"
"82","14.a.1","ER_RDE_OSEX",826,"United Kingdom of Great Britain and Northern Ireland",2013,"0.12","2013","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",80,"GBR","GB","United Kingdom of Great Britain & Northern Ireland"
"83","14.a.1","ER_RDE_OSEX",826,"United Kingdom of Great Britain and Northern Ireland",2014,"0.09","2014","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",80,"GBR","GB","United Kingdom of Great Britain & Northern Ireland"
"84","14.a.1","ER_RDE_OSEX",826,"United Kingdom of Great Britain and Northern Ireland",2015,"0.07","2015","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",80,"GBR","GB","United Kingdom of Great Britain & Northern Ireland"
"85","14.a.1","ER_RDE_OSEX",826,"United Kingdom of Great Britain and Northern Ireland",2016,"0.07","2016","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",80,"GBR","GB","United Kingdom of Great Britain & Northern Ireland"
"86","14.a.1","ER_RDE_OSEX",826,"United Kingdom of Great Britain and Northern Ireland",2017,"0.06","2017","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",80,"GBR","GB","United Kingdom of Great Britain & Northern Ireland"
"87","14.a.1","ER_RDE_OSEX",840,"United States of America",2013,"2.74","2013","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",235,"USA","US","United States of America"
"88","14.a.1","ER_RDE_OSEX",840,"United States of America",2014,"2.59","2014","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",235,"USA","US","United States of America"
"89","14.a.1","ER_RDE_OSEX",840,"United States of America",2015,"2.98","2015","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",235,"USA","US","United States of America"
"90","14.a.1","ER_RDE_OSEX",840,"United States of America",2016,"4.83","2016","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",235,"USA","US","United States of America"
